period,Rest_Number,Sales_TY
2019-01,1,26731.103602766732
2019-02,1,26741.087804407547
2019-03,1,26582.024689337537
2019-04,1,26485.33669050162
2019-05,1,26414.490749946097
2019-06,1,26364.032146967842
2019-07,1,26327.94911893733
2019-08,1,26302.160961880305
2019-09,1,26283.728919057176
2019-10,1,26270.554802351526
2019-11,1,26261.138719394086
2019-12,1,26254.408659322762
2019-13,1,26249.59840963228
2019-14,1,26246.160327100333
2019-15,1,26243.70298865318
2019-16,1,26241.946628185633
2019-17,1,26240.691285399796
2019-18,1,26239.794040478228
2019-19,1,26239.152742771847
2019-20,1,26238.694381026544
2019-21,1,26238.366771107685
2019-22,1,26238.1326148762
2019-23,1,26237.96525382396
2019-24,1,26237.845634022993
2019-25,1,26237.760136850313
2019-26,1,26237.6990285181
2019-27,1,26237.655351889403
2019-28,1,26237.624134413403
2019-29,1,26237.601822004297
2019-30,1,26237.58587441135
2019-31,1,26237.57447601328
2019-32,1,26237.56632911118
2019-33,1,26237.560506186463
2019-34,1,26237.556344303597
2019-35,1,26237.553369635396
2019-36,1,26237.55124351816
2019-37,1,26237.54972389506
2019-38,1,26237.54863775817
2019-39,1,26237.547861451636
2019-40,1,26237.54730659355
2019-41,1,26237.54691001374
2019-42,1,26237.546626561907
2019-43,1,26237.546423967266
2019-44,1,26237.546279164573
2019-45,1,26237.546175668158
2019-46,1,26237.546101695032
2019-47,1,26237.546048823406
2019-48,1,26237.546011033886
2019-49,1,26237.54598402417
2019-50,1,26237.545964719222
2019-51,1,26237.54595092118
2019-52,1,26237.545941059157
2019-01,2,26731.103602766732
2019-02,2,26741.087804407547
2019-03,2,26582.024689337537
2019-04,2,26485.33669050162
2019-05,2,26414.490749946097
2019-06,2,26364.032146967842
2019-07,2,26327.94911893733
2019-08,2,26302.160961880305
2019-09,2,26283.728919057176
2019-10,2,26270.554802351526
2019-11,2,26261.138719394086
2019-12,2,26254.408659322762
2019-13,2,26249.59840963228
2019-14,2,26246.160327100333
2019-15,2,26243.70298865318
2019-16,2,26241.946628185633
2019-17,2,26240.691285399796
2019-18,2,26239.794040478228
2019-19,2,26239.152742771847
2019-20,2,26238.694381026544
2019-21,2,26238.366771107685
2019-22,2,26238.1326148762
2019-23,2,26237.96525382396
2019-24,2,26237.845634022993
2019-25,2,26237.760136850313
2019-26,2,26237.6990285181
2019-27,2,26237.655351889403
2019-28,2,26237.624134413403
2019-29,2,26237.601822004297
2019-30,2,26237.58587441135
2019-31,2,26237.57447601328
2019-32,2,26237.56632911118
2019-33,2,26237.560506186463
2019-34,2,26237.556344303597
2019-35,2,26237.553369635396
2019-36,2,26237.55124351816
2019-37,2,26237.54972389506
2019-38,2,26237.54863775817
2019-39,2,26237.547861451636
2019-40,2,26237.54730659355
2019-41,2,26237.54691001374
2019-42,2,26237.546626561907
2019-43,2,26237.546423967266
2019-44,2,26237.546279164573
2019-45,2,26237.546175668158
2019-46,2,26237.546101695032
2019-47,2,26237.546048823406
2019-48,2,26237.546011033886
2019-49,2,26237.54598402417
2019-50,2,26237.545964719222
2019-51,2,26237.54595092118
2019-52,2,26237.545941059157
2019-01,3,26731.103602766732
2019-02,3,26741.087804407547
2019-03,3,26582.024689337537
2019-04,3,26485.33669050162
2019-05,3,26414.490749946097
2019-06,3,26364.032146967842
2019-07,3,26327.94911893733
2019-08,3,26302.160961880305
2019-09,3,26283.728919057176
2019-10,3,26270.554802351526
2019-11,3,26261.138719394086
2019-12,3,26254.408659322762
2019-13,3,26249.59840963228
2019-14,3,26246.160327100333
2019-15,3,26243.70298865318
2019-16,3,26241.946628185633
2019-17,3,26240.691285399796
2019-18,3,26239.794040478228
2019-19,3,26239.152742771847
2019-20,3,26238.694381026544
2019-21,3,26238.366771107685
2019-22,3,26238.1326148762
2019-23,3,26237.96525382396
2019-24,3,26237.845634022993
2019-25,3,26237.760136850313
2019-26,3,26237.6990285181
2019-27,3,26237.655351889403
2019-28,3,26237.624134413403
2019-29,3,26237.601822004297
2019-30,3,26237.58587441135
2019-31,3,26237.57447601328
2019-32,3,26237.56632911118
2019-33,3,26237.560506186463
2019-34,3,26237.556344303597
2019-35,3,26237.553369635396
2019-36,3,26237.55124351816
2019-37,3,26237.54972389506
2019-38,3,26237.54863775817
2019-39,3,26237.547861451636
2019-40,3,26237.54730659355
2019-41,3,26237.54691001374
2019-42,3,26237.546626561907
2019-43,3,26237.546423967266
2019-44,3,26237.546279164573
2019-45,3,26237.546175668158
2019-46,3,26237.546101695032
2019-47,3,26237.546048823406
2019-48,3,26237.546011033886
2019-49,3,26237.54598402417
2019-50,3,26237.545964719222
2019-51,3,26237.54595092118
2019-52,3,26237.545941059157
2019-01,4,26731.103602766732
2019-02,4,26741.087804407547
2019-03,4,26582.024689337537
2019-04,4,26485.33669050162
2019-05,4,26414.490749946097
2019-06,4,26364.032146967842
2019-07,4,26327.94911893733
2019-08,4,26302.160961880305
2019-09,4,26283.728919057176
2019-10,4,26270.554802351526
2019-11,4,26261.138719394086
2019-12,4,26254.408659322762
2019-13,4,26249.59840963228
2019-14,4,26246.160327100333
2019-15,4,26243.70298865318
2019-16,4,26241.946628185633
2019-17,4,26240.691285399796
2019-18,4,26239.794040478228
2019-19,4,26239.152742771847
2019-20,4,26238.694381026544
2019-21,4,26238.366771107685
2019-22,4,26238.1326148762
2019-23,4,26237.96525382396
2019-24,4,26237.845634022993
2019-25,4,26237.760136850313
2019-26,4,26237.6990285181
2019-27,4,26237.655351889403
2019-28,4,26237.624134413403
2019-29,4,26237.601822004297
2019-30,4,26237.58587441135
2019-31,4,26237.57447601328
2019-32,4,26237.56632911118
2019-33,4,26237.560506186463
2019-34,4,26237.556344303597
2019-35,4,26237.553369635396
2019-36,4,26237.55124351816
2019-37,4,26237.54972389506
2019-38,4,26237.54863775817
2019-39,4,26237.547861451636
2019-40,4,26237.54730659355
2019-41,4,26237.54691001374
2019-42,4,26237.546626561907
2019-43,4,26237.546423967266
2019-44,4,26237.546279164573
2019-45,4,26237.546175668158
2019-46,4,26237.546101695032
2019-47,4,26237.546048823406
2019-48,4,26237.546011033886
2019-49,4,26237.54598402417
2019-50,4,26237.545964719222
2019-51,4,26237.54595092118
2019-52,4,26237.545941059157
2019-01,10,26731.103602766732
2019-02,10,26741.087804407547
2019-03,10,26582.024689337537
2019-04,10,26485.33669050162
2019-05,10,26414.490749946097
2019-06,10,26364.032146967842
2019-07,10,26327.94911893733
2019-08,10,26302.160961880305
2019-09,10,26283.728919057176
2019-10,10,26270.554802351526
2019-11,10,26261.138719394086
2019-12,10,26254.408659322762
2019-13,10,26249.59840963228
2019-14,10,26246.160327100333
2019-15,10,26243.70298865318
2019-16,10,26241.946628185633
2019-17,10,26240.691285399796
2019-18,10,26239.794040478228
2019-19,10,26239.152742771847
2019-20,10,26238.694381026544
2019-21,10,26238.366771107685
2019-22,10,26238.1326148762
2019-23,10,26237.96525382396
2019-24,10,26237.845634022993
2019-25,10,26237.760136850313
2019-26,10,26237.6990285181
2019-27,10,26237.655351889403
2019-28,10,26237.624134413403
2019-29,10,26237.601822004297
2019-30,10,26237.58587441135
2019-31,10,26237.57447601328
2019-32,10,26237.56632911118
2019-33,10,26237.560506186463
2019-34,10,26237.556344303597
2019-35,10,26237.553369635396
2019-36,10,26237.55124351816
2019-37,10,26237.54972389506
2019-38,10,26237.54863775817
2019-39,10,26237.547861451636
2019-40,10,26237.54730659355
2019-41,10,26237.54691001374
2019-42,10,26237.546626561907
2019-43,10,26237.546423967266
2019-44,10,26237.546279164573
2019-45,10,26237.546175668158
2019-46,10,26237.546101695032
2019-47,10,26237.546048823406
2019-48,10,26237.546011033886
2019-49,10,26237.54598402417
2019-50,10,26237.545964719222
2019-51,10,26237.54595092118
2019-52,10,26237.545941059157
2019-01,11,26731.103602766732
2019-02,11,26741.087804407547
2019-03,11,26582.024689337537
2019-04,11,26485.33669050162
2019-05,11,26414.490749946097
2019-06,11,26364.032146967842
2019-07,11,26327.94911893733
2019-08,11,26302.160961880305
2019-09,11,26283.728919057176
2019-10,11,26270.554802351526
2019-11,11,26261.138719394086
2019-12,11,26254.408659322762
2019-13,11,26249.59840963228
2019-14,11,26246.160327100333
2019-15,11,26243.70298865318
2019-16,11,26241.946628185633
2019-17,11,26240.691285399796
2019-18,11,26239.794040478228
2019-19,11,26239.152742771847
2019-20,11,26238.694381026544
2019-21,11,26238.366771107685
2019-22,11,26238.1326148762
2019-23,11,26237.96525382396
2019-24,11,26237.845634022993
2019-25,11,26237.760136850313
2019-26,11,26237.6990285181
2019-27,11,26237.655351889403
2019-28,11,26237.624134413403
2019-29,11,26237.601822004297
2019-30,11,26237.58587441135
2019-31,11,26237.57447601328
2019-32,11,26237.56632911118
2019-33,11,26237.560506186463
2019-34,11,26237.556344303597
2019-35,11,26237.553369635396
2019-36,11,26237.55124351816
2019-37,11,26237.54972389506
2019-38,11,26237.54863775817
2019-39,11,26237.547861451636
2019-40,11,26237.54730659355
2019-41,11,26237.54691001374
2019-42,11,26237.546626561907
2019-43,11,26237.546423967266
2019-44,11,26237.546279164573
2019-45,11,26237.546175668158
2019-46,11,26237.546101695032
2019-47,11,26237.546048823406
2019-48,11,26237.546011033886
