Store #,# of McDonalds <1 mi,# of Subway <1 mi,# of Wendys <1 mi,# of Burger King <1 mi,# of Taco Bell <1 mi,# of McDonalds <0.5 mi,# of Subway <0.5 mi,# of Wendys <0.5 mi,# of Burger King <0.5 mi,# of Taco Bell <0.5 mi
5938,0,0,0,0,0,0,0,0,0,0
6394,0,0,1,1,0,0,0,1,1,0
7724,1,2,0,0,0,1,2,0,0,0
6204,1,1,1,1,1,0,1,0,1,0
6830,1,2,1,1,1,1,1,1,1,1
5992,1,1,1,1,0,1,1,1,1,0
1847,1,1,1,1,0,1,1,1,1,0
6153,1,3,1,1,0,0,2,0,1,0
7134,1,2,0,0,0,1,2,0,0,0
6385,1,1,1,0,0,1,1,1,0,0
7840,0,0,1,0,0,0,0,1,0,0
1404,1,2,0,2,1,1,2,0,2,0
5651,1,0,1,1,1,1,0,1,0,0
1681,0,1,1,1,1,0,1,1,1,1
7205,1,1,1,1,1,1,1,1,0,0
1913,1,2,1,1,1,0,2,0,1,1
517,2,4,1,1,1,1,1,0,0,0
1043,1,1,1,1,0,1,1,1,1,0
7068,1,1,1,0,1,0,1,1,0,1
970,1,2,1,0,0,1,2,1,0,0
903,1,1,0,0,1,1,1,0,0,1
5669,2,2,1,1,1,2,1,1,1,1
7580,1,2,1,1,1,0,0,0,1,1
7007,1,0,0,1,0,1,0,0,0,0
866,1,2,0,0,0,1,2,0,0,0
7034,2,1,1,0,0,0,1,1,0,0
6782,1,1,1,1,1,1,0,1,1,1
5714,1,1,0,0,1,1,1,0,0,1
1990,1,2,1,0,1,1,0,1,0,1
1853,1,2,0,1,0,0,0,0,0,0
1854,0,1,1,0,1,0,1,1,0,1
992,2,1,1,1,1,1,0,1,1,1
1686,0,3,0,1,1,0,1,0,1,1
1597,1,3,1,0,0,1,2,1,0,0
7340,1,1,0,1,0,1,1,0,0,0
132,0,1,0,0,1,0,0,0,0,1
6710,0,1,1,0,1,0,1,1,0,1
5422,1,2,1,1,1,1,1,1,1,1
7082,1,1,1,1,0,1,0,1,1,0
7370,0,1,1,0,0,0,1,1,0,0
7860,0,1,1,1,1,0,0,0,0,1
164,1,3,0,1,1,1,1,0,1,1
106,1,0,1,1,0,1,0,1,1,0
5817,1,1,1,1,1,1,1,1,1,1
7185,1,0,0,1,0,1,0,0,0,0
7775,1,1,1,0,0,1,1,1,0,0
5695,0,1,0,1,1,0,1,0,1,1
5866,1,1,1,1,0,1,0,1,1,0
155,0,0,1,0,0,0,0,0,0,0
6616,0,1,1,0,0,0,1,1,0,0
6118,1,2,1,0,0,1,2,0,0,0
1003,2,1,1,1,1,1,1,1,1,1
1339,1,7,0,0,1,1,2,0,0,0
5052,1,1,0,0,0,1,0,0,0,0
807,1,2,0,1,1,1,0,0,0,1
6421,0,1,0,1,0,0,1,0,1,0
6425,1,1,1,0,0,1,1,0,0,0
942,1,2,1,0,1,1,0,1,0,1
759,1,2,1,1,1,1,1,1,0,0
5506,1,1,1,0,0,1,1,1,0,0
7509,1,0,0,0,0,1,0,0,0,0
5417,1,2,0,0,0,1,2,0,0,0
7837,0,1,1,2,1,0,0,1,2,0
6714,1,2,1,1,0,0,0,0,1,0
8031,1,1,0,0,0,1,0,0,0,0
5280,1,1,0,1,0,1,1,0,1,0
7559,1,1,1,1,0,0,0,0,0,0
5072,1,2,0,0,0,1,0,0,0,0
5912,1,1,1,0,1,1,0,0,0,0
112,1,0,1,1,1,1,0,1,1,1
784,1,2,0,1,2,0,1,0,0,0
7251,1,1,1,1,1,1,1,1,1,1
5026,1,2,1,1,0,1,1,1,1,0
822,0,1,1,1,0,0,1,1,1,0
6969,2,1,0,1,0,1,0,0,0,0
603,1,3,0,0,0,0,0,0,0,0
360,1,1,0,1,1,1,0,0,1,1
1222,1,2,1,1,0,1,1,0,0,0
6836,1,2,1,0,0,1,0,0,0,0
5421,1,2,1,1,1,1,1,1,1,1
345,1,1,0,1,1,1,1,0,1,1
5053,1,1,1,1,0,1,0,0,0,0
1415,1,2,1,0,0,1,0,1,0,0
5131,1,1,1,0,1,1,1,1,0,1
7204,1,1,0,0,1,1,1,0,0,1
7800,0,1,0,0,1,0,1,0,0,1
730,1,2,1,1,0,0,0,1,0,0
6202,1,1,0,0,0,0,1,0,0,0
793,1,1,0,1,1,1,1,0,1,1
6241,1,1,0,0,0,1,1,0,0,0
103,1,1,1,0,0,0,0,1,0,0
6158,1,3,1,1,0,0,1,0,1,0
1563,1,0,0,1,0,1,0,0,1,0
1054,1,1,1,0,0,0,1,1,0,0
7938,1,0,0,1,0,1,0,0,1,0
73,1,1,1,1,1,1,1,1,1,1
255,1,1,0,0,1,1,1,0,0,1
6775,1,2,1,1,1,0,1,0,1,0
836,0,1,1,0,1,0,1,1,0,1
174,3,3,1,1,1,1,1,1,1,1
1239,0,1,0,0,0,0,1,0,0,0
1203,1,1,1,0,1,1,1,1,0,1
7140,0,1,1,0,0,0,1,0,0,0
5566,1,3,2,0,1,0,0,0,0,0
7931,1,2,0,0,1,1,1,0,0,1
7020,1,2,1,0,0,1,0,1,0,0
8042,1,1,1,0,0,0,0,1,0,0
1115,1,2,1,1,1,0,1,1,1,1
97,1,1,1,0,1,1,1,1,0,1
7336,1,1,1,0,0,1,1,1,0,0
1501,1,2,1,1,0,1,1,1,1,0
1557,1,1,1,0,1,1,1,1,0,1
5115,2,2,1,1,1,2,2,0,1,1
223,0,1,1,0,1,0,1,1,0,1
7759,1,0,0,0,0,1,0,0,0,0
1014,1,2,1,1,0,1,1,0,1,0
5439,0,1,0,1,0,0,1,0,1,0
7215,1,1,0,1,1,0,0,0,0,0
7368,2,1,1,1,1,2,1,0,1,1
714,1,2,0,0,0,1,1,0,0,0
6329,1,1,0,0,0,0,1,0,0,0
7980,1,1,2,1,0,0,1,1,1,0
7080,1,2,0,1,0,1,1,0,1,0
686,0,1,1,0,0,0,0,0,0,0
1208,1,1,0,2,0,1,0,0,0,0
7947,1,2,1,1,0,1,1,1,1,0
7501,0,1,1,0,0,0,1,0,0,0
1742,1,2,1,0,1,1,2,1,0,1
22,1,2,1,0,0,1,1,1,0,0
7246,1,3,0,1,0,0,3,0,0,0
6289,2,1,1,1,0,1,1,0,1,0
1389,1,2,1,0,0,1,1,1,0,0
1629,1,2,1,1,0,1,2,1,1,0
7807,1,1,1,1,0,1,0,1,1,0
37,2,3,1,0,0,1,3,1,0,0
7478,1,0,1,1,1,1,0,1,1,1
5428,1,1,1,0,0,1,1,0,0,0
745,0,2,1,1,1,0,1,1,1,0
5144,1,1,1,1,0,1,1,1,1,0
629,1,1,1,0,1,1,1,1,0,1
5861,1,1,0,0,0,1,1,0,0,0
6883,0,1,0,1,0,0,1,0,1,0
615,1,1,1,1,1,1,1,1,1,1
1800,1,0,0,1,0,1,0,0,0,0
