rest_dma_code,fiscal_year,fiscal_week_number,OnAir_TY,Equal_TRPS_CM_TY
501,2015,1,0,0
501,2015,2,0,0
501,2015,3,0,0
501,2015,4,0,0
501,2015,5,0,0
501,2015,6,0,0
501,2015,7,0,0
501,2015,8,0,0
501,2015,9,0,0
501,2015,10,1,45.3
501,2015,11,1,122.8
501,2015,12,1,119.4
501,2015,13,1,122.5
501,2015,14,0,70.7
501,2015,15,0,25.7
501,2015,16,0,9.6
501,2015,17,0,0
501,2015,18,1,45.3
501,2015,19,1,122.8
501,2015,20,1,119.4
501,2015,21,1,122.5
501,2015,22,0,70.7
501,2015,23,0,25.7
501,2015,24,0,9.6
501,2015,25,0,0
501,2015,26,0,0
501,2015,27,1,45.3
501,2015,28,1,122.8
501,2015,29,1,119.4
501,2015,30,1,122.5
501,2015,31,1,116
501,2015,32,1,148.5
501,2015,33,1,129
501,2015,34,1,122.5
501,2015,35,0,70.7
501,2015,36,0,25.7
501,2015,37,0,9.6
501,2015,38,0,0
501,2015,39,0,0
501,2015,40,1,45.3
501,2015,41,1,122.8
501,2015,42,1,119.4
501,2015,43,1,122.7
501,2015,44,1,87.7
501,2015,45,1,105.2
501,2015,46,1,143.6
501,2015,47,1,130.7
501,2015,48,0,106.1
501,2015,49,0,33.1
501,2015,50,0,16.6
501,2015,51,0,0
501,2015,52,0,0
501,2016,1,0,0
501,2016,2,0,0
501,2016,3,0,0
501,2016,4,0,0
501,2016,5,0,0
501,2016,6,0,0
501,2016,7,0,0
501,2016,8,0,0
501,2016,9,1,44.5
501,2016,10,1,118.8
501,2016,11,1,109.3
501,2016,12,1,105
501,2016,13,1,95
501,2016,14,1,130
501,2016,15,1,109.3
501,2016,16,1,99.8
501,2016,17,1,62.1
501,2016,18,1,81.6
501,2016,19,1,128.2
501,2016,20,1,105.1
501,2016,21,1,95.1
501,2016,22,0,48.5
501,2016,23,0,17.7
501,2016,24,0,5.8
501,2016,25,0,0
501,2016,26,0,0
501,2016,27,1,43.5
501,2016,28,1,116
501,2016,29,1,106.8
501,2016,30,1,102.8
501,2016,31,1,96.5
501,2016,32,1,135.8
501,2016,33,1,113.1
501,2016,34,1,102.8
501,2016,35,1,96.8
