REST_NUMBER,REST_STATUS,REST_ADDRSTATE,REST_REMODELDT,REST_OPENDATE,REST_CLOSEDATE
776,Open,IN,17530101,6/14/1976,1753-01-01
791,Open,NC,20081209,3/15/1977,1753-01-01
808,Open,CA,20181006,11/29/1975,1753-01-01
822,Open,NE,20180517,2/16/1976,1753-01-01
841,Open,FL,19990301,1/14/1978,1753-01-01
850,Open,FL,17530101,11/16/1976,1753-01-01
856,Closed,TX,17530101,3/1/1977,6/23/2019
857,Closed,TX,17530101,7/17/1977,5/31/2018
864,Open,IN,17530101,2/7/1977,1753-01-01
898,Open,OH,20160705,1/7/1978,1753-01-01
916,Closed,NY,20101126,4/26/1978,9/8/2011
919,Open,CA,17530101,3/16/1977,1753-01-01
926,Open,CA,17530101,4/4/1977,1753-01-01
951,Open,NE,20001020,12/14/1977,1753-01-01
953,Open,NE,20020709,8/4/1977,1753-01-01
970,Open,IN,17530101,8/24/1977,1753-01-01
976,Open,MI,20050625,6/13/1977,1753-01-01
979,Open,MI,20161020,3/3/1980,1753-01-01
985,Open,TX,20180816,9/26/1977,1753-01-01
986,Open,TX,17530101,8/15/1977,1753-01-01
1000,Open,IL,19991001,8/7/1980,1753-01-01
1009,Open,CA,17530101,10/1/1977,1753-01-01
1011,Open,CA,20180205,11/25/1977,1753-01-01
1014,Open,WI,20181130,12/15/1977,1753-01-01
1018,Open,IA,20180625,4/10/1978,1753-01-01
1034,Open,TX,17530101,2/2/1978,1753-01-01
1043,Open,IN,20160420,4/19/1978,1753-01-01
1054,Open,IL,17530101,3/14/1978,1753-01-01
1073,Open,MI,20020521,6/9/1978,1753-01-01
1080,Closed,IA,19970701,2/12/1980,8/10/2015
1098,Open,IA,20010329,3/15/1980,1753-01-01
1100,Open,MS,20180524,2/12/1979,1753-01-01
1103,Open,TX,20181123,9/11/1978,1753-01-01
1112,Open,TX,17530101,9/19/1978,1753-01-01
1132,Closed,TX,17530101,2/10/1979,5/31/2018
1137,Open,CO,17530101,9/5/1978,1753-01-01
1141,Open,CA,20131201,11/11/1988,1753-01-01
1142,Closed,IA,19970701,4/15/1980,1/7/2019
1162,Open,CA,20140710,5/3/1979,1753-01-01
1166,Open,CA,20170427,11/11/1988,1753-01-01
1185,Open,MI,20040624,5/14/1979,1753-01-01
1213,Open,IL,19961209,6/12/1979,1753-01-01
1222,Open,WI,20120515,7/24/1979,1753-01-01
1298,Open,WI,19991001,3/3/1980,1753-01-01
1302,Open,NE,17530101,3/24/1980,1753-01-01
1309,Open,NE,20081113,4/18/1980,1753-01-01
1330,Open,TX,20160524,7/11/1980,1753-01-01
1338,Open,IN,20090715,6/28/1980,1753-01-01
1346,Open,GA,20060818,9/11/1980,1753-01-01
1350,Open,FL,17530101,10/27/1980,1753-01-01
1392,Open,NE,20001203,9/30/1980,1753-01-01
1395,Open,IA,19980701,1/2/1981,1753-01-01
1396,Closed,CA,20150102,12/5/1980,2/3/2019
1397,Open,IL,17530101,10/18/1980,1753-01-01
1413,Open,IL,17530101,12/8/1980,1753-01-01
1415,Open,IL,17530101,1/16/1981,1753-01-01
1423,Open,IL,20041231,2/2/1981,1753-01-01
1434,Open,TX,20170228,2/23/1981,1753-01-01
1472,Open,IL,20140728,6/15/1981,1753-01-01
1499,Open,FL,17530101,9/27/1981,1753-01-01
1511,Open,FL,20171122,12/16/1981,1753-01-01
1521,Open,TX,20081115,2/23/1982,1753-01-01
1522,Open,IL,20130101,2/26/1982,1753-01-01
1528,Open,LA,20180813,3/8/1982,1753-01-01
1533,Open,IN,20070730,3/8/1982,1753-01-01
1542,Open,NE,20030103,6/21/1982,1753-01-01
1544,Open,IN,20170403,5/24/1982,1753-01-01
1546,Open,CA,20150930,7/5/1982,1753-01-01
1552,Open,IL,20070815,7/29/1982,1753-01-01
1562,Open,TX,20140905,9/5/1982,1753-01-01
1563,Open,VA,20151204,9/7/1982,1753-01-01
1582,Closed,WA,20100901,12/14/1982,8/11/2012
1583,Open,TX,20030927,12/17/1982,1753-01-01
1609,Open,AZ,20030903,1/24/1983,1753-01-01
1614,Open,TX,20190321,2/22/1983,1753-01-01
1619,Open,TN,20001130,4/4/1983,1753-01-01
1624,Open,LA,20070617,5/5/1983,1753-01-01
1628,Open,NC,20081001,5/19/1983,1753-01-01
1634,Open,LA,20180922,6/23/1983,1753-01-01
1637,Open,IA,20160630,7/6/1983,1753-01-01
1641,Open,HI,20171009,8/13/1994,1753-01-01
1644,Closed,TX,17530101,8/9/1983,5/31/2018
1646,Open,NE,20151102,9/23/1983,1753-01-01
1801,Closed,TX,20100720,11/15/1984,8/31/2017
7250,Closed,LA,17530101,11/12/2001,10/30/2007
5324,Closed,UT,20100903,11/9/1987,7/8/2013
6173,Closed,UT,17530101,11/19/1992,6/25/2011
6570,Closed,NV,17530101,6/12/1996,1/15/2012
7599,Closed,UT,17530101,12/4/2004,12/1/2010
7659,Closed,UT,17530101,7/21/2005,6/21/2010
5939,Closed,CA,20100324,11/1/1990,8/30/2017
2136,Closed,NA,20111223,10/18/1989,8/31/2017
8625,Open,TX,17530101,2/28/2018,1753-01-01
2280,Open,NA,17530101,4/16/1997,1753-01-01
2281,Open,NA,17530101,5/26/1997,1753-01-01
2299,Closed,NA,17530101,5/2/1998,1/15/2017
2329,Open,NA,17530101,9/4/2000,1753-01-01
2340,Open,NA,17530101,6/1/2001,1753-01-01
2348,Open,NA,17530101,9/21/2002,1753-01-01
2365,Open,NA,17530101,8/28/2011,1753-01-01
2367,Open,NA,17530101,2/1/2009,1753-01-01
2377,Open,NA,17530101,4/30/2011,1753-01-01
2379,Open,NA,17530101,5/29/2011,1753-01-01
2381,Open,NA,17530101,10/30/2010,1753-01-01
2388,Open,NA,17530101,7/12/2011,1753-01-01
2389,Open,NA,17530101,9/28/2012,1753-01-01
2395,Open,NA,17530101,3/22/2011,1753-01-01
2398,Open,NA,17530101,3/31/2011,1753-01-01
2399,Open,NA,17530101,5/15/2011,1753-01-01
2400,Open,NA,17530101,4/13/2011,1753-01-01
2404,Open,NA,17530101,12/21/2011,1753-01-01
2405,Open,NA,17530101,9/17/2011,1753-01-01
2406,Open,NA,17530101,3/30/2012,1753-01-01
2411,Open,NA,17530101,12/26/2011,1753-01-01
2412,Open,NA,17530101,10/7/2012,1753-01-01
2413,Open,NA,17530101,5/19/2012,1753-01-01
2414,Open,NA,17530101,5/31/2012,1753-01-01
2415,Open,NA,17530101,9/6/2012,1753-01-01
2416,Open,NA,17530101,11/16/2012,1753-01-01
2417,Open,NA,17530101,10/19/2012,1753-01-01
2419,Open,NA,17530101,9/12/2014,1753-01-01
2420,Open,NA,17530101,5/23/2014,1753-01-01
2421,Open,NA,17530101,10/10/2013,1753-01-01
2424,Open,NA,17530101,10/29/2013,1753-01-01
2428,Open,NA,17530101,1/22/2013,1753-01-01
2433,Open,NA,17530101,9/15/2013,1753-01-01
2434,Open,NA,17530101,9/15/2013,1753-01-01
2435,Open,NA,17530101,9/1/2013,1753-01-01
2437,Open,NA,17530101,10/26/2013,1753-01-01
2439,Open,NA,17530101,12/10/2013,1753-01-01
2440,Open,NA,17530101,12/19/2013,1753-01-01
2442,Open,NA,17530101,12/22/2013,1753-01-01
2443,Open,NA,17530101,12/21/2013,1753-01-01
2444,Open,NA,17530101,3/1/2014,1753-01-01
2445,Open,NA,17530101,3/6/2014,1753-01-01
2448,Open,NA,17530101,9/4/2014,1753-01-01
2449,Open,NA,17530101,11/15/2015,1753-01-01
2450,Open,NA,17530101,9/30/2017,1753-01-01
2451,Open,NA,17530101,4/28/2017,1753-01-01
2452,Open,NA,17530101,11/27/2015,1753-01-01
2453,Open,NA,17530101,10/27/2017,1753-01-01
2454,Open,NA,17530101,9/20/2017,1753-01-01
2457,Open,NA,17530101,10/28/2015,1753-01-01
2458,Open,NA,17530101,9/28/2017,1753-01-01
2468,Open,NA,17530101,3/14/2015,1753-01-01
2470,Open,NA,17530101,1/5/2015,1753-01-01
2475,Open,NA,17530101,5/12/2017,1753-01-01
2478,Open,NA,17530101,9/19/2017,1753-01-01
2480,Open,NA,17530101,6/16/2017,1753-01-01
2487,Open,NA,17530101,9/22/2015,1753-01-01
2491,Open,NA,17530101,7/28/2017,1753-01-01
2495,Closed,NA,17530101,5/20/2016,1/15/2017
2496,Open,NA,17530101,5/20/2016,1753-01-01
2504,Open,NA,17530101,4/17/2017,1753-01-01
2505,Open,NA,17530101,12/13/2017,1753-01-01
2506,Open,NA,17530101,12/6/2017,1753-01-01
2507,Open,NA,17530101,12/28/2017,1753-01-01
2508,Open,NA,17530101,12/31/2017,1753-01-01
2514,Open,NA,17530101,5/20/2017,1753-01-01
2518,Open,NA,17530101,2/17/2018,1753-01-01
2528,Closed,NA,17530101,2/26/2018,1/31/2019
2007,Open,NA,20030825,12/9/1982,1753-01-01
2020,Open,NA,20181121,10/21/1983,1753-01-01
2033,Open,NA,20060301,11/14/1984,1753-01-01
2036,Open,NA,20180810,11/19/1984,1753-01-01
2038,Open,NA,20180801,1/28/1985,1753-01-01
2039,Open,NA,20170609,2/25/1985,1753-01-01
2042,Closed,NA,20051101,3/25/1985,12/24/2018
2047,Open,NA,20171227,8/5/1985,1753-01-01
2053,Open,NA,20130801,11/11/1985,1753-01-01
2055,Open,NA,20151115,11/25/1985,1753-01-01
2057,Open,NA,20171221,12/17/1985,1753-01-01
2058,Open,NA,20171227,12/16/1985,1753-01-01
2062,Open,NA,20170811,1/29/1986,1753-01-01
2065,Open,NA,20180905,5/19/1986,1753-01-01
2070,Open,NA,20181015,5/19/1986,1753-01-01
2072,Open,NA,20170830,6/30/1986,1753-01-01
2077,Open,NA,20171128,9/3/1986,1753-01-01
2079,Open,NA,20080901,8/26/1986,1753-01-01
2080,Open,NA,20091215,10/20/1986,1753-01-01
2086,Open,NA,20160531,12/19/1987,1753-01-01
2088,Open,NA,20141201,1/5/1987,1753-01-01
2090,Open,NA,20181113,4/20/1987,1753-01-01
2098,Open,NA,20171001,6/15/1987,1753-01-01
2100,Open,NA,20100824,8/3/1987,1753-01-01
2103,Closed,NA,20061027,11/3/1987,2/28/2019
2112,Open,NA,20190801,8/15/1988,1753-01-01
2118,Open,NA,20121125,9/19/1988,1753-01-01
2137,Open,NA,20101101,12/4/1989,1753-01-01
2151,Open,NA,17530101,10/25/1990,1753-01-01
2158,Open,NA,20110628,7/15/1991,1753-01-01
2288,Open,NA,17530101,12/1/1997,1753-01-01
2289,Open,NA,20180615,12/31/1997,1753-01-01
2301,Closed,NA,17530101,8/5/1998,6/30/2018
2312,Open,NA,17530101,4/20/1999,1753-01-01
2316,Open,NA,17530101,9/29/1999,1753-01-01
2324,Open,NA,17530101,8/5/2000,1753-01-01
2338,Closed,NA,17530101,4/10/2001,3/31/2018
2344,Open,NA,17530101,3/30/2002,1753-01-01
2345,Open,NA,17530101,5/13/2002,1753-01-01
2347,Open,NA,17530101,8/9/2002,1753-01-01
2349,Open,NA,17530101,10/17/2002,1753-01-01
