rest_number,drop_date,fiscal_year,fiscal_week_number
10,3/24/2015,2015,13
1,3/24/2015,2015,13
86,3/24/2015,2015,13
228,9/29/2015,2015,40
85,3/24/2015,2015,13
25,3/24/2015,2015,13
15,3/24/2015,2015,13
114,3/31/2015,2015,14
431,3/24/2015,2015,13
151,3/24/2015,2015,13
42,3/24/2015,2015,13
39,3/24/2015,2015,13
619,3/24/2015,2015,13
34,3/24/2015,2015,13
38,3/24/2015,2015,13
2,3/24/2015,2015,13
30,3/24/2015,2015,13
60,3/24/2015,2015,13
103,3/24/2015,2015,13
26,3/27/2018,2018,13
20,9/29/2015,2015,40
403,3/31/2015,2015,14
127,3/31/2015,2015,14
14,3/24/2015,2015,13
41,3/24/2015,2015,13
1025,9/29/2015,2015,40
117,9/29/2015,2015,40
238,3/24/2015,2015,13
156,9/29/2015,2015,40
99,3/31/2015,2015,14
80,9/29/2015,2015,40
69,3/24/2015,2015,13
83,3/24/2015,2015,13
225,7/31/2018,2018,31
532,9/29/2015,2015,40
635,5/29/2018,2018,22
469,3/24/2015,2015,13
13,3/24/2015,2015,13
23,9/29/2015,2015,40
606,2/24/2015,2015,9
299,3/31/2015,2015,14
1564,7/31/2018,2018,31
115,9/29/2015,2015,40
22,3/27/2018,2018,13
95,9/29/2015,2015,40
155,3/24/2015,2015,13
3,3/24/2015,2015,13
128,3/24/2015,2015,13
12,3/24/2015,2015,13
137,3/31/2015,2015,14
693,3/24/2015,2015,13
533,3/31/2015,2015,14
71,3/24/2015,2015,13
48,3/24/2015,2015,13
66,9/29/2015,2015,40
315,3/24/2015,2015,13
118,3/24/2015,2015,13
11,9/29/2015,2015,40
149,9/29/2015,2015,40
4,3/24/2015,2015,13
10,7/28/2015,2015,31
1,9/29/2015,2015,40
86,1/27/2015,2015,5
1172,3/24/2015,2015,13
85,9/29/2015,2015,40
25,9/29/2015,2015,40
15,7/28/2015,2015,31
114,1/27/2015,2015,5
431,9/29/2015,2015,40
151,7/28/2015,2015,31
42,9/29/2015,2015,40
39,1/27/2015,2015,5
619,7/28/2015,2015,31
34,7/28/2015,2015,31
38,7/28/2015,2015,31
2,9/29/2015,2015,40
30,1/27/2015,2015,5
60,9/29/2015,2015,40
103,9/29/2015,2015,40
26,7/24/2018,2018,30
130,3/24/2015,2015,13
403,9/29/2015,2015,40
127,9/29/2015,2015,40
14,7/28/2015,2015,31
41,9/29/2015,2015,40
1025,1/27/2015,2015,5
212,3/24/2015,2015,13
238,1/27/2015,2015,5
179,9/29/2015,2015,40
99,9/29/2015,2015,40
97,3/24/2015,2015,13
69,7/28/2015,2015,31
83,9/29/2015,2015,40
225,12/25/2018,2018,52
532,11/24/2015,2015,48
635,3/27/2018,2018,13
469,9/29/2015,2015,40
13,9/29/2015,2015,40
23,3/29/2016,2016,13
773,3/24/2015,2015,13
299,9/29/2015,2015,40
1564,12/25/2018,2018,52
135,9/29/2015,2015,40
22,7/25/2017,2017,30
161,9/29/2015,2015,40
155,9/29/2015,2015,40
3,7/28/2015,2015,31
128,1/27/2015,2015,5
12,9/29/2015,2015,40
137,9/29/2015,2015,40
693,7/28/2015,2015,31
533,9/29/2015,2015,40
71,1/27/2015,2015,5
48,9/29/2015,2015,40
239,3/24/2015,2015,13
315,9/29/2015,2015,40
118,9/29/2015,2015,40
11,5/26/2015,2015,22
149,12/1/2015,2015,49
4,7/28/2015,2015,31
10,1/27/2015,2015,5
1,2/24/2015,2015,9
86,2/24/2015,2015,9
1172,7/28/2015,2015,31
85,3/29/2016,2016,13
25,2/24/2015,2015,9
15,1/27/2015,2015,5
114,2/24/2015,2015,9
431,7/28/2015,2015,31
151,1/31/2017,2017,5
42,2/24/2015,2015,9
39,2/24/2015,2015,9
619,1/27/2015,2015,5
